# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
283356.1000 M8583 593405 3 21522.1000 p34 p6 n/a N p34->p13->p53->p9
283356.1000 M8697 544023 3 18049.1000 p12 p34 n/a N p12->p88->p53->p9
283677.4000 M9271 659506 3 854.4000 p8 p3 n/a N p8->p31->p35->p49
283719.6000 M9170 501676 2 3977.6000 p79 p27 n/a N p79->p14->p97
283812.9000 M9303 838024 1 7.9000 p70 p22 n/a N p70->p66
284642.1000 M8587 930731 5 22687.1000 p71 p43 n/a N p71->p48->p6->p75->p45->p30
284642.1000 M8837 564519 5 15066.1000 p43 p78 n/a N p43->p99->p41->p75->p45->p30
284642.1000 M8778 906508 3 16864.1000 p53 p42 n/a N p53->p13->p45->p30
284642.1000 M8531 793880 4 24399.1000 p38 p23 n/a N p38->p53->p13->p45->p30
284643.3000 M8881 798040 4 13719.3000 p71 p57 n/a N p71->p98->p73->p85->p66
284761.8000 M9025 654758 1 9446.8000 p46 p0 n/a N p46->p57
284790.3000 M9000 780875 1 10237.3000 p9 p76 n/a N p9->p81
284795.9000 M8556 891033 3 23786.9000 p13 p65 n/a N p13->p34->p35->p54
284855.2000 M8658 744891 2 20738.2000 p65 p39 n/a N p65->p66->p35
284954.4000 M8556 891033 4 23945.4000 p13 p65 n/a N p13->p34->p35->p54->p30
285118.7000 M8797 874560 5 16762.7000 p8 p58 n/a N p8->p67->p56->p23->p95->p65
285202.2000 M8505 585135 2 25753.2000 p21 p17 n/a N p21->p28->p9
285202.2000 M8737 875109 2 18680.2000 p41 p88 n/a N p41->p28->p9
285219.1000 M9158 521600 2 5846.1000 p20 p23 n/a N p20->p16->p53
285426.4000 M9292 842962 3 1958.4000 p49 p24 n/a N p49->p35->p85->p71
285481.5000 M9134 824206 5 6840.5000 p33 p69 n/a N p33->p77->p96->p97->p98->p23
285481.5000 M8585 771055 3 23586.5000 p19 p85 n/a N p19->p95->p23->p98
285481.5000 M9086 995349 2 8306.5000 p28 p56 n/a N p28->p23->p98
285799.9000 M8926 557006 3 13504.9000 p77 p47 n/a N p77->p90->p89->p71
285885.2000 M9273 796834 1 3002.2000 p58 p84 n/a N p58->p46
285898.0000 M8558 743101 6 24828.0000 p76 p45 n/a N p76->p14->p64->p98->p10->p89->p19
285898.0000 M8699 630120 5 20530.0000 p70 p35 n/a N p70->p95->p59->p82->p89->p19
285898.0000 M8676 828767 3 21230.0000 p58 p5 n/a N p58->p10->p89->p19
286010.1000 M8806 940300 3 17383.1000 p4 p47 n/a N p4->p23->p28->p81
286010.1000 M8883 503139 2 15025.1000 p27 p72 n/a N p27->p28->p81
286010.1000 M8893 656891 2 14720.1000 p9 p25 n/a N p9->p81->p28
286010.1000 M9009 926123 2 11182.1000 p31 p67 n/a N p31->p81->p28
286818.7000 M9088 665844 2 9583.7000 p56 p74 n/a N p56->p11->p2
286820.8000 M8882 933195 3 15865.8000 p21 p0 n/a N p21->p28->p76->p12
286820.8000 M9168 826010 1 7139.8000 p12 p78 n/a N p12->p76
286862.1000 M9380 804114 1 712.1000 p32 p4 n/a N p32->p81
287015.2000 M9196 714673 3 6478.2000 p74 p7 n/a N p74->p93->p60->p16
287128.1000 M9256 994759 1 4764.1000 p40 p11 n/a N p40->p53
287664.9000 M8762 776652 4 20377.9000 p80 p87 n/a N p80->p33->p56->p11->p31
287761.1000 M9372 981032 1 1856.1000 p23 p24 n/a N p23->p27
287832.2000 M8942 772745 3 15046.2000 p89 p90 n/a N p89->p57->p79->p39
288225.2000 M9002 748722 4 13611.2000 p64 p79 n/a N p64->p84->p83->p37->p25
288225.2000 M8900 650347 2 16723.2000 p90 p28 n/a N p90->p37->p25
288250.3000 M8729 687461 2 21972.3000 p58 p32 n/a N p58->p62->p1
288330.0000 M8875 543478 3 17589.0000 p43 p17 n/a N p43->p93->p62->p49
288388.6000 M9026 778474 5 13043.6000 p71 p70 n/a N p71->p97->p89->p19->p48->p60
288562.3000 M9259 649961 2 6105.3000 p20 p52 n/a N p20->p78->p37
288562.3000 M9002 748722 4 13948.3000 p64 p79 n/a N p64->p84->p83->p37->p78
288562.3000 M8900 650347 2 17060.3000 p90 p28 n/a N p90->p37->p78
288586.8000 M9102 878664 4 10923.8000 p43 p68 n/a N p43->p25->p37->p78->p80
288617.3000 M9273 796834 2 5734.3000 p58 p84 n/a N p58->p22->p75
288856.0000 M9431 669020 2 1144.0000 p48 p23 n/a N p48->p87->p89
288997.8000 M9233 603390 5 7332.8000 p49 p73 n/a N p49->p90->p33->p11->p89->p39
288997.8000 M9328 824680 4 4433.8000 p19 p86 n/a N p19->p33->p11->p89->p39
288997.8000 M8513 745078 4 29304.8000 p57 p86 n/a N p57->p81->p11->p89->p39
289018.3000 M9385 617410 2 2714.3000 p80 p40 n/a N p80->p34->p37
289031.0000 M9193 562346 4 8587.0000 p47 p74 n/a N p47->p67->p49->p62->p60
289246.2000 M9057 595784 2 12953.2000 p75 p32 n/a N p75->p33->p6
289246.2000 M9033 725464 2 13684.2000 p79 p59 n/a N p79->p33->p6
289246.2000 M8910 756454 4 17436.2000 p18 p81 n/a N p18->p63->p38->p33->p6
289246.2000 M8936 739926 2 16642.2000 p45 p23 n/a N p45->p6->p33
289246.2000 M8517 816945 3 29432.2000 p73 p39 n/a N p73->p14->p6->p33
289246.2000 M8794 888071 4 20982.2000 p4 p59 n/a N p4->p56->p45->p6->p33
289246.2000 M9183 660602 1 9108.2000 p6 p86 n/a N p6->p33
289247.4000 M9239 674708 1 7399.4000 p69 p1 n/a N p69->p78
289247.4000 M8498 964175 3 30010.4000 p40 p81 n/a N p40->p39->p69->p78
289247.4000 M8802 521481 5 20740.4000 p55 p52 n/a N p55->p19->p98->p91->p78->p69
289247.4000 M8622 850632 2 26231.4000 p1 p67 n/a N p1->p78->p69
289247.4000 M9145 502235 1 10271.4000 p78 p25 n/a N p78->p69
289258.6000 M9227 992778 4 7777.6000 p74 p22 n/a N p74->p93->p92->p60->p64
289349.6000 M9357 514470 1 3900.6000 p9 p71 n/a N p9->p94
289441.8000 M9307 773944 3 5514.8000 p38 p35 n/a N p38->p85->p71->p3
289441.8000 M9487 988074 1 15.8000 p3 p47 n/a N p3->p71
289441.8000 M8580 587101 4 27698.8000 p27 p45 n/a N p27->p11->p81->p3->p71
289441.8000 M9293 913378 1 5943.8000 p3 p78 n/a N p3->p71
289441.8000 M8824 531106 2 20263.8000 p85 p38 n/a N p85->p3->p71
289441.8000 M9008 510326 6 14644.8000 p48 p87 n/a N p48->p70->p77->p47->p88->p3->p71
289598.6000 M9070 832176 2 12910.6000 p90 p22 n/a N p90->p89->p53
289598.6000 M9377 858818 4 3540.6000 p79 p2 n/a N p79->p39->p87->p89->p53
289598.6000 M9034 923626 2 14006.6000 p90 p83 n/a N p90->p89->p53
289598.6000 M9076 852467 5 12728.6000 p3 p10 n/a N p3->p88->p63->p82->p89->p53
289598.6000 M9083 781283 3 12513.6000 p57 p66 n/a N p57->p11->p53->p89
289598.6000 M9219 510480 1 8361.6000 p53 p73 n/a N p53->p89
289598.6000 M8697 544023 3 24291.6000 p12 p34 n/a N p12->p88->p53->p89
289925.3000 M9244 967692 2 7924.3000 p45 p55 n/a N p45->p23->p97
289943.4000 M8598 853899 2 27655.4000 p72 p2 n/a N p72->p32->p49
290004.5000 M9502 604749 1 121.5000 p21 p8 n/a N p21->p10
290184.7000 M8607 944144 2 27622.7000 p60 p7 n/a N p60->p94->p61
290188.6000 M8913 708194 3 18288.6000 p67 p80 n/a N p67->p0->p13->p1
290188.6000 M9181 680816 2 10111.6000 p6 p76 n/a N p6->p13->p1
290188.6000 M8756 770145 4 23084.6000 p30 p5 n/a N p30->p20->p26->p13->p1
290188.6000 M9005 587072 2 15483.6000 p22 p24 n/a N p22->p1->p13
290225.9000 M9033 725464 2 14663.9000 p79 p59 n/a N p79->p33->p45
290225.9000 M8910 756454 4 18415.9000 p18 p81 n/a N p18->p63->p38->p33->p45
290422.1000 M8921 554593 5 18279.1000 p62 p58 n/a N p62->p10->p98->p48->p2->p67
290422.1000 M8655 933212 5 26397.1000 p42 p85 n/a N p42->p54->p98->p48->p2->p67
290467.0000 M8825 994673 5 21259.0000 p65 p66 n/a N p65->p0->p86->p26->p60->p35
290467.0000 M8886 977281 8 19391.0000 p16 p64 n/a N p16->p98->p56->p73->p0->p86->p26->p60->p35
290803.4000 M9359 826508 1 5293.4000 p62 p49 n/a N p62->p56
291066.6000 M9125 914580 2 12698.6000 p86 p85 n/a N p86->p41->p42
291524.2000 M9554 792346 1 52.2000 p87 p28 n/a N p87->p11
291780.7000 M8693 535231 6 26594.7000 p38 p48 n/a N p38->p53->p88->p2->p45->p97->p60
291780.7000 M8777 689985 3 24033.7000 p37 p90 n/a N p37->p45->p97->p60
291951.7000 M9061 747143 4 15537.7000 p75 p71 n/a N p75->p45->p13->p86->p1
291951.7000 M8866 894222 3 21487.7000 p48 p18 n/a N p48->p33->p86->p1
291951.7000 M8854 943180 3 21856.7000 p14 p27 n/a N p14->p42->p86->p1
291951.7000 M9537 853932 1 997.7000 p1 p28 n/a N p1->p86
292047.0000 M9209 752183 2 11113.0000 p7 p69 n/a N p7->p41->p95
292106.5000 M9272 604653 3 9253.5000 p70 p22 n/a N p70->p92->p51->p86
292162.5000 M9505 650018 1 2188.5000 p85 p53 n/a N p85->p10
292227.1000 M9181 680816 3 12150.1000 p6 p76 n/a N p6->p13->p1->p51
292227.1000 M8548 768991 4 31463.1000 p12 p52 n/a N p12->p88->p13->p1->p51
292227.1000 M8756 770145 5 25123.1000 p30 p5 n/a N p30->p20->p26->p13->p1->p51
292300.6000 M9036 586381 4 16647.6000 p48 p66 n/a N p48->p82->p10->p67->p86
292300.6000 M9058 997552 5 15977.6000 p42 p22 n/a N p42->p90->p82->p10->p67->p86
292300.6000 M8683 787531 4 27419.6000 p32 p9 n/a N p32->p58->p11->p67->p86
292459.8000 M9261 517938 1 9942.8000 p55 p78 n/a N p55->p89
292491.6000 M9061 747143 3 16077.6000 p75 p71 n/a N p75->p45->p41->p82
292491.6000 M8661 672114 3 28283.6000 p45 p69 n/a N p45->p86->p41->p82
292491.6000 M8866 894222 4 22027.6000 p48 p18 n/a N p48->p33->p86->p41->p82
292491.6000 M8998 969183 4 17998.6000 p70 p85 n/a N p70->p33->p86->p41->p82
292491.6000 M8634 726342 1 29107.6000 p41 p11 n/a N p41->p82
292491.6000 M9501 682686 3 2638.6000 p77 p74 n/a N p77->p95->p41->p82
292491.6000 M8949 791953 3 19492.6000 p10 p70 n/a N p10->p47->p82->p41
292554.8000 M9183 660602 1 12416.8000 p6 p86 n/a N p6->p23
292740.3000 M9449 610618 2 4475.3000 p8 p33 n/a N p8->p60->p91
292765.5000 M8889 545782 3 21596.5000 p72 p86 n/a N p72->p44->p0->p60
292765.5000 M8503 718706 3 33377.5000 p1 p5 n/a N p1->p80->p0->p60
292765.5000 M8719 821827 5 26790.5000 p16 p34 n/a N p16->p14->p10->p80->p0->p60
292765.5000 M8712 899698 3 27002.5000 p85 p15 n/a N p85->p73->p0->p60
292765.5000 M9105 558090 3 15009.5000 p72 p82 n/a N p72->p44->p0->p60
292765.5000 M9395 979184 5 6158.5000 p32 p90 n/a N p32->p81->p54->p97->p60->p0
292765.5000 M8788 563941 4 24684.5000 p50 p4 n/a N p50->p22->p1->p60->p0
292765.5000 M8871 707580 2 22147.5000 p51 p35 n/a N p51->p60->p0
292765.5000 M8891 532705 4 21536.5000 p2 p81 n/a N p2->p4->p93->p60->p0
292803.4000 M9036 586381 4 17150.4000 p48 p66 n/a N p48->p82->p10->p67->p45
292803.4000 M9058 997552 5 16480.4000 p42 p22 n/a N p42->p90->p82->p10->p67->p45
292803.4000 M8683 787531 4 27922.4000 p32 p9 n/a N p32->p58->p11->p67->p45
292803.4000 M8865 916211 4 22370.4000 p27 p14 n/a N p27->p31->p32->p45->p67
292873.1000 M9262 638870 3 10326.1000 p46 p35 n/a N p46->p23->p6->p51
292873.1000 M8779 848695 4 25065.1000 p71 p24 n/a N p71->p98->p23->p6->p51
292873.1000 M9243 614982 4 10903.1000 p50 p42 n/a N p50->p15->p23->p6->p51
292908.2000 M8927 818595 1 20583.2000 p28 p14 n/a N p28->p67
292908.2000 M9237 580706 1 11121.2000 p28 p78 n/a N p28->p67
292958.3000 M9057 595784 2 16665.3000 p75 p32 n/a N p75->p45->p28
292958.3000 M9033 725464 3 17396.3000 p79 p59 n/a N p79->p33->p45->p28
292958.3000 M8988 743456 2 18770.3000 p2 p55 n/a N p2->p45->p28
292958.3000 M8985 507446 3 18862.3000 p86 p67 n/a N p86->p8->p45->p28
292958.3000 M8850 956896 4 22984.3000 p71 p60 n/a N p71->p26->p8->p45->p28
293046.3000 M9536 938064 1 2123.3000 p22 p90 n/a N p22->p75
293163.9000 M8729 687461 3 26885.9000 p58 p32 n/a N p58->p62->p1->p39
293163.9000 M9061 747143 5 16749.9000 p75 p71 n/a N p75->p45->p13->p86->p1->p39
293163.9000 M8866 894222 4 22699.9000 p48 p18 n/a N p48->p33->p86->p1->p39
293163.9000 M9029 603400 4 17725.9000 p14 p72 n/a N p14->p77->p79->p39->p1
293389.3000 M8826 511799 2 24151.3000 p6 p71 n/a N p6->p75->p86
293418.0000 M8729 687461 3 27140.0000 p58 p32 n/a N p58->p62->p82->p6
293418.0000 M9061 747143 4 17004.0000 p75 p71 n/a N p75->p45->p41->p82->p6
293418.0000 M9517 770223 1 3075.0000 p82 p47 n/a N p82->p6
293418.0000 M8866 894222 5 22954.0000 p48 p18 n/a N p48->p33->p86->p41->p82->p6
293418.0000 M8634 726342 2 30034.0000 p41 p11 n/a N p41->p82->p6
293418.0000 M8776 512042 7 25702.0000 p2 p31 n/a N p2->p90->p13->p33->p37->p45->p6->p82
293418.0000 M8748 518584 6 26560.0000 p31 p63 n/a N p31->p71->p26->p8->p45->p6->p82
293418.0000 M8836 931903 3 23873.0000 p22 p69 n/a N p22->p26->p6->p82
293424.7000 M9540 583961 2 2379.7000 p33 p81 n/a N p33->p61->p51
293462.8000 M8843 577665 5 23702.8000 p68 p18 n/a N p68->p65->p52->p67->p28->p71
293462.8000 M8835 939569 7 23947.8000 p4 p79 n/a N p4->p23->p95->p65->p52->p67->p28->p71
293528.8000 M9343 599300 2 8506.8000 p71 p26 n/a N p71->p85->p81
293528.8000 M9203 771148 2 12777.8000 p36 p16 n/a N p36->p81->p85
293528.8000 M8773 722428 5 25904.8000 p9 p20 n/a N p9->p52->p21->p28->p81->p85
293542.6000 M9157 900407 3 14200.6000 p77 p46 n/a N p77->p33->p79->p5
293542.6000 M8532 714828 2 33269.6000 p50 p59 n/a N p50->p5->p79
293620.6000 M8729 687461 2 27342.6000 p58 p32 n/a N p58->p62->p0
293620.6000 M9477 821999 3 4499.6000 p60 p45 n/a N p60->p64->p62->p0
293620.6000 M9186 632939 4 13391.6000 p45 p30 n/a N p45->p32->p56->p62->p0
293620.6000 M9108 885061 4 15771.6000 p32 p76 n/a N p32->p45->p56->p62->p0
293666.2000 M9141 952551 3 14812.2000 p84 p23 n/a N p84->p38->p85->p66
293722.0000 M9490 694729 4 4206.0000 p74 p88 n/a N p74->p11->p87->p19->p28
293722.0000 M8686 960012 4 28748.0000 p59 p44 n/a N p59->p70->p89->p19->p28
293736.9000 M8791 616830 5 25563.9000 p48 p37 n/a N p48->p62->p57->p52->p65->p24
294089.2000 M8861 773940 2 23778.2000 p10 p83 n/a N p10->p52->p28
294260.9000 M9579 734924 2 2022.9000 p62 p66 n/a N p62->p0->p1
294260.9000 M9582 711984 2 1930.9000 p62 p67 n/a N p62->p0->p1
