# time  created  delivered  delivered/created
11637.0000 381 36 0.0945
11640.0000 381 37 0.0971
11668.0000 382 37 0.0969
11699.0000 383 37 0.0966
11729.0000 384 37 0.0964
11760.0000 385 37 0.0961
11790.0000 386 37 0.0959
11790.0000 386 38 0.0984
11812.2000 386 39 0.1010
11820.0000 387 39 0.1008
11844.9000 387 40 0.1034
11850.0000 388 40 0.1031
11881.0000 389 40 0.1028
11912.0000 390 40 0.1026
11943.0000 391 40 0.1023
11973.0000 392 40 0.1020
11993.0000 392 41 0.1046
12003.0000 393 41 0.1043
12033.0000 394 41 0.1041
12063.0000 395 41 0.1038
12093.0000 396 41 0.1035
12124.0000 397 41 0.1033
12155.0000 398 41 0.1030
12186.0000 399 41 0.1028
12217.0000 400 41 0.1025
12247.0000 401 41 0.1022
12278.0000 402 41 0.1020
12308.0000 403 41 0.1017
12339.0000 404 41 0.1015
12369.0000 405 41 0.1012
12400.0000 406 41 0.1010
12430.0000 407 41 0.1007
12460.0000 408 41 0.1005
12487.2000 408 42 0.1029
12490.0000 409 42 0.1027
12521.0000 410 42 0.1024
12551.0000 411 42 0.1022
12581.0000 412 42 0.1019
12612.0000 413 42 0.1017
12643.0000 414 42 0.1014
12674.0000 415 42 0.1012
12705.0000 416 42 0.1010
12735.0000 417 42 0.1007
12765.0000 418 42 0.1005
12772.0000 418 43 0.1029
12795.0000 419 43 0.1026
12825.0000 420 43 0.1024
12849.8000 420 44 0.1048
12856.0000 421 44 0.1045
12887.0000 422 44 0.1043
12909.7000 422 45 0.1066
12918.0000 423 45 0.1064
12949.0000 424 45 0.1061
12958.3000 424 46 0.1085
12980.0000 425 46 0.1082
13011.0000 426 46 0.1080
13041.0000 427 46 0.1077
13072.0000 428 46 0.1075
13103.0000 429 46 0.1072
13115.1000 429 47 0.1096
13133.0000 430 47 0.1093
13163.0000 431 47 0.1090
13183.8000 431 48 0.1114
13186.4000 431 49 0.1137
13193.0000 432 49 0.1134
13224.0000 433 49 0.1132
13255.0000 434 49 0.1129
13286.0000 435 49 0.1126
13317.0000 436 49 0.1124
13348.0000 437 49 0.1121
13379.0000 438 49 0.1119
13409.0000 439 49 0.1116
